Time (s),Product Position,Actual Temperature
176,348.046260136561,212.10956536997548
177,350.05276108249996,210.19804325623483
178,352.7795281210786,208.3055411052553
179,354.64719970445964,206.4318696653057
180,358.00728428775443,204.5768415676825
181,360.3201179616369,202.7402713080306
182,361.8915391834288,200.92197522779358
183,363.35609293439825,199.12177149584815
184,365.5973291420198,197.33948009032093
185,367.4855977493569,195.57492278058615
186,369.84259799640296,193.82792310944234
187,372.07921680868975,192.09830637546656
188,374.0428023523613,190.38589961554408
189,375.6194054933271,188.69053158757185
190,376.8619818809842,187.0120327533343
191,378.6387244049507,185.35023526154924
192,381.06692380211246,183.70497293108266
193,383.17397067417755,182.07608123433045
194,384.5511012848216,180.46339728076552
195,386.63769174774717,178.86675980064862
196,388.83035043761157,177.28600912890118
197,390.38842171951103,175.72098718913875
198,392.4652842724838,174.17153747786315
199,394.49438863170684,172.63750504881205
200,395.9229034827915,171.11873649746417
201,398.1017971629657,169.61507994569874
202,400.3821894261498,168.12638502660752
203,402.92371504773746,166.65250286945803
204,405.45061607375493,165.19328608480632
205,406.7617813897764,163.7485887497579
206,408.29286886981885,162.31826639337532
207,410.55038650342317,160.90217598223106
208,412.80727947887925,159.5001759061039
209,415.0648033220323,158.11212596381796
210,418.99116906735964,156.73788734922297
211,421.2766143227062,155.37732263731783
212,423.84439714279654,154.03029577052132
213,426.32139802454316,152.69667204515784
214,428.64709365019604,151.37631809833678
215,430.48945902787585,150.0691018956781
216,432.86894363812246,148.77489272033858
217,434.4825310308537,147.49356117701635
218,436.3641217274837,146.22497916906406
219,438.1214399535691,144.96901998853903
220,440.16237702326225,143.72555836524785
221,443.319706306599,142.4944714803091
222,444.38607371030315,141.27564619932912
223,446.7292038054904,140.0689546792175
224,447.9228458698956,138.87432181051182
225,449.68687993700087,137.6916130710302
226,452.23135523548456,136.52079427330796
227,454.2634952450323,135.36206985463602
228,455.72462285606764,134.21588703971878
229,457.36697100143766,133.0822536280316
230,459.706769875905,131.96177781638198
231,461.34158656004644,130.85970675307732
232,463.4498158548374,129.77540974002653
233,465.4726017747893,128.72020047341448
234,467.1468016009864,127.71236987794934
235,470.2187736456491,126.73539903401478
236,472.5357331568081,125.89995984193435
237,473.5231618634793,125.51994704241915
238,475.616389020864,124.98010637543955
239,477.2854957884798,124.84278094873532
240,479.71171245587794,124.79192608384535
241,481.3154520866616,125.73121955354215
242,483.25808386592814,126.90086024367972
243,485.5105775054184,128.4565406994896
244,487.94345510250344,130.6088263046665
245,489.3433068989755,135.97678744792825
246,491.176056281055,140.6130736933002
247,492.93858362547456,146.23176666556054
248,494.6119190091877,152.85475393717755
249,497.49464612932826,156.5930804336551
250,499.69713698480876,162.0416516630877
251,501.0666950076412,171.52550478820913
252,503.5256259811686,175.79014861214617
253,506.5867040796749,178.28088984021682
254,509.1029367099505,180.83071852474615
255,510.34325172697345,186.74771422639182
256,512.1011346905403,189.53944895400764
257,514.7345902651336,190.02272249859817
258,516.3807555323242,191.09593235208825
259,518.6026652463974,190.84361379183795
260,520.989982273112,190.03038979216683
261,522.526517037323,189.36204462725973
262,524.496754359292,188.20564836433482
263,524.8761206892575,189.05885567697325
264,526.3639268685904,187.83583517613528
265,528.2376427928938,186.3972157210697
266,529.6137512019113,184.96269491120822
267,532.4299568538771,183.3709975448485
268,533.7148861648968,181.82010284461822
269,535.4948639215484,180.24114396173692
270,537.5602342101914,178.66045918222466
271,540.2808708547245,177.08583111239759
272,541.5629397791348,175.52821856423625
273,544.1445216552123,173.98169329481868
274,546.1496381857221,172.45012932583586
275,547.6588838601981,170.9336355301568
276,549.8899355973298,169.43192627742724
277,551.9894654451165,167.94509710181984
278,553.6893570065371,166.47304287675217
279,555.7242580490321,165.01561922903744
280,557.5316012506012,163.57269309966435
281,559.5883599232268,162.14412195568747
282,561.9194252604873,160.72976456658472
283,564.7124336685599,159.32948005706066
284,566.0935259191465,157.94312860703755
285,569.1600426064746,156.57057154710245
286,570.1839987067133,155.2116716597881
287,572.1081061591955,153.86629304843754
288,574.4022647624378,152.53430117735803
289,576.5427606963053,151.2155628467399
290,578.231410936395,149.90994618173204
291,580.1273498112164,148.6173206195904
292,581.880849343887,147.33755689668988
293,583.5861669654149,146.07052703559333
294,586.0109680139254,144.8161043322592
295,588.189475756908,143.57416334337205
296,589.8430209592776,142.34457987379804
297,592.2928208969943,141.12723096416556
298,594.4464706574325,139.9219948785692
299,596.852901716852,138.728751092396
300,599.1677161378138,137.54738028027305
301,600.7532186323529,136.3777643041346
302,602.4731281122544,135.2197862014083
303,604.846774914816,134.073330173319
304,607.1519600475327,132.93828157330842
305,609.1415092505506,131.81452689557074
306,611.200172942205,130.70195376370168
307,613.8390053900991,129.60045091946094
308,615.5432196956813,128.50990821164618
